SampleID	Group	Color
MS059	MS	#56AED2
MS060	MS	#56AED2
MS062	MS	#56AED2
MS063	MS	#56AED2
MS064	MS	#56AED2
MS065	MS	#56AED2
MS066	MS	#56AED2
MS067	MS	#56AED2
MS068	MS	#56AED2
MS069	MS	#56AED2
MS070	MS	#56AED2
MS071	MS	#56AED2
MS072	MS	#56AED2
MS073	MS	#56AED2
MS074	MS	#56AED2
MS075	MS	#56AED2
MS076	MS	#56AED2
MS077	MS	#56AED2
MS078	MS	#56AED2
MS079	MS	#56AED2
MS080	MS	#56AED2
MS081	MS	#56AED2
MS082	MS	#56AED2
MS083	MS	#56AED2
MS084	MS	#56AED2
MS085	MS	#56AED2
MS086	MS	#56AED2
MS087	MS	#56AED2
MS088	MS	#56AED2
MS089	MS	#56AED2
MS090	MS	#56AED2
MS091	MS	#56AED2
MS092	MS	#56AED2
MS093	MS	#56AED2
MS094	MS	#56AED2
MS095	MS	#56AED2
MS096	MS	#56AED2
MS097	MS	#56AED2
MS098	MS	#56AED2
MS099	MS	#56AED2
MS100	MS	#56AED2
MS101	MS	#56AED2
MS102	MS	#56AED2
MS103	MS	#56AED2
MS104	MS	#56AED2
MS105	MS	#56AED2
MS106	MS	#56AED2
MS107	MS	#56AED2
MS108	MS	#56AED2
MS109	MS	#56AED2
MS110	MS	#56AED2
MS111	MS	#56AED2
MS112	MS	#56AED2
MS113	MS	#56AED2
MS114	MS	#56AED2
MS115	MS	#56AED2
MS116	MS	#56AED2
MS117	MS	#56AED2
MS118	MS	#56AED2
MS119	MS	#56AED2
MS120	MS	#56AED2
